MAQUINA EN EL QUE SE REALIZARON LAS PRUEBAS.

PROCESADOR INTEL(R) CORE(TM) I7-2670QM CPU @ 2.20GHz 2.20GHz
MEMORIA INSTALADA (RAM) 8.00 GB

Caso  Cantidad  Rango	Tiempo
1	10	1-10	0,000151
2	10	1-10	0,000128
3	10	1-10	0,000181
4	10	1-10	0,000118
5	10	1-10	0,00012
6	10	1-10	0,000117
7	10	1-10	0,000119
8	10	1-10	0,000058
9	10	1-10	0,000056
10	10	1-10	0,000056

	Promedio	0,0001104
			
Caso  Cantidad  Rango	Tiempo
1	100	1-1000	0,00055
2	100	1-1000	0,000503
3	100	1-1000	0,000501
4	100	1-1000	0,000543
5	100	1-1000	0,000537
6	100	1-1000	0,000513
7	100	1-1000	0,000502
8	100	1-1000	0,000518
9	100	1-1000	0,000507
10	100	1-1000	0,000515

	Promedio	0,0005189
			
Caso  Cantidad  Rango	Tiempo
1	1000	1-10000	0,006645
2	1000	1-10000	0,006869
3	1000	1-10000	0,006693
4	1000	1-10000	0,006702
5	1000	1-10000	0,00682
6	1000	1-10000	0,00663
7	1000	1-10000	0,006834
8	1000	1-10000	0,006606
9	1000	1-10000	0,006783
10	1000	1-10000	0,006502

	Promedio	0,0067084
