MAQUINA EN EL QUE SE REALIZARON LAS PRUEBAS.

PROCESADOR INTEL(R) CORE(TM) I7-2670QM CPU @ 2.20GHz 2.20GHz
MEMORIA INSTALADA (RAM) 8.00 GB

Caso  cantidad  Rango	Tiempo
1	10	1-10	0,006328
2	10	1-10	0,005917
3	10	1-10	0,00638
4	10	1-10	0,006602
5	10	1-10	0,006155
6	10	1-10	0,006733
7	10	1-10	0,007222
8	10	1-10	0,010002
9	10	1-10	0,010901
10	10	1-10	0,009033

	Promedio	0,0075273
			
Caso  cantidad  Rango	Tiempo
1	100	1-1000	0,011891
2	100	1-1000	0,016925
3	100	1-1000	0,016845
4	100	1-1000	0,014975
5	100	1-1000	0,013759
6	100	1-1000	0,013361
7	100	1-1000	0,013453
8	100	1-1000	0,014095
9	100	1-1000	0,015865
10	100	1-1000	0,018993

	Promedio	0,0150162
			
Caso  cantidad  Rango	Tiempo
1	1000	1-10000	0,102094
2	1000	1-10000	0,112036
3	1000	1-10000	0,111856
4	1000	1-10000	0,111324
5	1000	1-10000	0,114124
6	1000	1-10000	0,113878
7	1000	1-10000	0,208719
8	1000	1-10000	0,112645
9	1000	1-10000	0,200169
10	1000	1-10000	0,111462

	Promedio	0,1298307
